,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED,simple,rainbow,human,random,normalized_reward
131,10000,364.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.020488597388531198
132,12500,394.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.025001504302304592
133,15000,410.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.0274083879896504
134,17500,440.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.03192129490342379
135,20000,462.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.03523075997352428
136,22500,464.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.03553162043444251
137,25000,492.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.03974366688729767
138,27500,518.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04365485287923461
139,30000,520.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04395571334015284
140,32500,518.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04365485287923461
141,35000,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04636259702749865
142,37500,522.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.044256573801071064
143,40000,538.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.046663457488416875
144,42500,562.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.05027378301943559
