,ACTION-BUFFER-SIZE,ARK2,CLIP-REWARD,DISCOUNT,ENV,EPS-DECAY,EPSILON,EXPLORE,FRAMESTACK,K_ACT,K_EXP,M,PROJECTION,Reward,SEED,STATE-DIM,STICKY-ACTIONS,Step,TIME-SIG,Unnamed: 0,human,normalized_reward,rainbow,random,simple
212,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1230.0,1.5,250.0,,27500,100.0,212,8503.3,0.12299084803395513,470.8,210.0,1128.3
214,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1247.5,1.5,250.0,,30000,100.0,214,8503.3,0.12510098513257692,470.8,210.0,1128.3
216,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1262.5,1.5,250.0,,32500,100.0,216,8503.3,0.12690967407425272,470.8,210.0,1128.3
218,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1382.5,1.5,250.0,,35000,100.0,218,8503.3,0.14137918560765922,470.8,210.0,1128.3
220,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1497.5,1.5,250.0,,37500,100.0,220,8503.3,0.15524580082717376,470.8,210.0,1128.3
222,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1477.5,1.5,250.0,,40000,100.0,222,8503.3,0.15283421557160598,470.8,210.0,1128.3
224,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1530.0,1.5,250.0,,42500,100.0,224,8503.3,0.15916462686747135,470.8,210.0,1128.3
226,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1435.0,1.5,250.0,,45000,100.0,226,8503.3,0.14770959690352453,470.8,210.0,1128.3
228,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1520.0,1.5,250.0,,47500,100.0,228,8503.3,0.15795883423968748,470.8,210.0,1128.3
230,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1587.5,1.5,250.0,,50000,100.0,230,8503.3,0.16609793447722862,470.8,210.0,1128.3
232,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1665.0,1.5,250.0,,52500,100.0,232,8503.3,0.17544282734255365,470.8,210.0,1128.3
234,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1780.0,1.5,250.0,,55000,100.0,234,8503.3,0.1893094425620682,470.8,210.0,1128.3
236,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1840.0,1.5,250.0,,57500,100.0,236,8503.3,0.19654419832877146,470.8,210.0,1128.3
238,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1862.5,1.5,250.0,,60000,100.0,238,8503.3,0.19925723174128515,470.8,210.0,1128.3
240,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1827.5,1.5,250.0,,62500,100.0,240,8503.3,0.1950369575440416,470.8,210.0,1128.3
242,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1782.5,1.5,250.0,,65000,100.0,242,8503.3,0.18961089071901416,470.8,210.0,1128.3
244,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1655.0,1.5,250.0,,67500,100.0,244,8503.3,0.17423703471476976,470.8,210.0,1128.3
246,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1782.5,1.5,250.0,,70000,100.0,246,8503.3,0.18961089071901416,470.8,210.0,1128.3
248,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1807.5,1.5,250.0,,72500,100.0,248,8503.3,0.19262537228847385,470.8,210.0,1128.3
250,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1722.5,1.5,250.0,,75000,100.0,250,8503.3,0.18237613495231086,470.8,210.0,1128.3
252,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1820.0,1.5,250.0,,77500,100.0,252,8503.3,0.19413261307320367,470.8,210.0,1128.3
254,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1742.5,1.5,250.0,,80000,100.0,254,8503.3,0.18478772020787868,470.8,210.0,1128.3
256,80000.0,111.2,,0.95,bank_heist,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,5.291666666666667,1.5,250.0,,2500,100.0,256,753.1,-0.012056209681057426,51.0,14.2,34.2
258,80000.0,111.2,,0.95,bank_heist,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,8.5,1.5,250.0,,5000,100.0,258,753.1,-0.007714169711733656,51.0,14.2,34.2
260,80000.0,111.2,,0.95,bank_heist,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,13.0,1.5,250.0,,7500,100.0,260,753.1,-0.0016240357287860324,51.0,14.2,34.2
262,80000.0,111.2,,0.95,bank_heist,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,13.0,1.5,250.0,,10000,100.0,262,753.1,-0.0016240357287860324,51.0,14.2,34.2
264,80000.0,111.2,,0.95,bank_heist,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,15.5,1.5,250.0,,12500,100.0,264,753.1,0.0017593720395182035,51.0,14.2,34.2
